date,region,state,cases,deaths
4/21/2020,Nordeste,Piauí,186,14
4/21/2020,Nordeste,Rio Grande do Norte,608,28
4/21/2020,Nordeste,Sergipe,92,5
4/21/2020,Norte,Acre,195,8
4/21/2020,Norte,Amapá,457,13
4/21/2020,Norte,Amazonas,2270,193
4/21/2020,Norte,Pará,1026,38
4/21/2020,Norte,Rondônia,199,4
4/21/2020,Norte,Roraima,247,3
4/21/2020,Norte,Tocantins,37,1
4/21/2020,Sudeste,Espírito Santo,1212,34
4/21/2020,Sudeste,Minas Gerais,1230,44
4/21/2020,Sudeste,Rio de Janeiro,5306,461
4/21/2020,Sudeste,São Paulo,15385,1093
4/21/2020,Sul,Paraná,1024,51
4/21/2020,Sul,Rio Grande do Sul,904,27
4/21/2020,Sul,Santa Catarina,1063,35
4/22/2020,Centro-Oeste,Distrito Federal,946,25
4/22/2020,Centro-Oeste,Goiás,438,21
4/22/2020,Centro-Oeste,Mato Grosso,183,6
4/22/2020,Centro-Oeste,Mato Grosso do Sul,175,6
4/22/2020,Nordeste,Alagoas,243,20
4/22/2020,Nordeste,Bahia,1644,50
4/22/2020,Nordeste,Ceará,3910,233
4/22/2020,Nordeste,Maranhão,1604,66
4/22/2020,Nordeste,Paraíba,301,39
4/22/2020,Nordeste,Pernambuco,3298,282
4/22/2020,Nordeste,Piauí,206,15
4/22/2020,Nordeste,Rio Grande do Norte,646,29
4/22/2020,Nordeste,Sergipe,117,7
4/22/2020,Norte,Acre,214,8
4/22/2020,Norte,Amapá,479,14
4/22/2020,Norte,Amazonas,2479,207
4/22/2020,Norte,Pará,1195,43
4/22/2020,Norte,Rondônia,223,5
4/22/2020,Norte,Roraima,280,3
4/22/2020,Norte,Tocantins,37,1
4/22/2020,Sudeste,Espírito Santo,1313,34
